Code,Description,last_updated
A00,Cholera,09-12-2025
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",09-12-2025
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",09-12-2025
A009,"Cholera, unspecified",09-12-2025
A01,Typhoid and paratyphoid fevers,09-12-2025
A010,Typhoid fever,09-12-2025
A0100,"Typhoid fever, unspecified",09-12-2025
A0101,Typhoid meningitis,09-12-2025
A0102,Typhoid fever with heart involvement,09-12-2025
A0103,Typhoid pneumonia,09-12-2025
A0104,Typhoid arthritis,09-12-2025
A0105,Typhoid osteomyelitis,09-12-2025
A0109,Typhoid fever with other complications,09-12-2025
A011,Paratyphoid fever A,09-12-2025
A012,Paratyphoid fever B,09-12-2025
A013,Paratyphoid fever C,09-12-2025
A014,"Paratyphoid fever, unspecified",09-12-2025
A02,Other salmonella infections,09-12-2025
A020,Salmonella enteritis,09-12-2025
A021,Salmonella sepsis,09-12-2025
A022,Localized salmonella infections,09-12-2025
A0220,"Localized salmonella infection, unspecified",09-12-2025
A0221,Salmonella meningitis,09-12-2025
A0222,Salmonella pneumonia,09-12-2025
A0223,Salmonella arthritis,09-12-2025
A0224,Salmonella osteomyelitis,09-12-2025
A0225,Salmonella pyelonephritis,09-12-2025
A0229,Salmonella with other localized infection,09-12-2025
A028,Other specified salmonella infections,09-12-2025
A029,"Salmonella infection, unspecified",09-12-2025
A03,Shigellosis,09-12-2025
A030,Shigellosis due to Shigella dysenteriae,09-12-2025
A031,Shigellosis due to Shigella flexneri,09-12-2025
A032,Shigellosis due to Shigella boydii,09-12-2025
A033,Shigellosis due to Shigella sonnei,09-12-2025
A038,Other shigellosis,09-12-2025
A039,"Shigellosis, unspecified",09-12-2025
A04,Other bacterial intestinal infections,09-12-2025
A040,Enteropathogenic Escherichia coli infection,09-12-2025
A041,Enterotoxigenic Escherichia coli infection,09-12-2025
A042,Enteroinvasive Escherichia coli infection,09-12-2025
A043,Enterohemorrhagic Escherichia coli infection,09-12-2025
A044,Other intestinal Escherichia coli infections,09-12-2025
A045,Campylobacter enteritis,09-12-2025
A046,Enteritis due to Yersinia enterocolitica,09-12-2025
A047,Enterocolitis due to Clostridium difficile,09-12-2025
A0471,"Enterocolitis due to Clostridium difficile, recurrent",09-12-2025
A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur",09-12-2025
A048,Other specified bacterial intestinal infections,09-12-2025
A049,"Bacterial intestinal infection, unspecified",09-12-2025
A05,"Oth bacterial foodborne intoxications, NEC",09-12-2025
A050,Foodborne staphylococcal intoxication,09-12-2025
A051,Botulism food poisoning,09-12-2025
A052,Foodborne Clostridium perfringens intoxication,09-12-2025
A053,Foodborne Vibrio parahaemolyticus intoxication,09-12-2025
A054,Foodborne Bacillus cereus intoxication,09-12-2025
A055,Foodborne Vibrio vulnificus intoxication,09-12-2025
A058,Other specified bacterial foodborne intoxications,09-12-2025
A059,"Bacterial foodborne intoxication, unspecified",09-12-2025
A06,Amebiasis,09-12-2025
A060,Acute amebic dysentery,09-12-2025
A061,Chronic intestinal amebiasis,09-12-2025
A062,Amebic nondysenteric colitis,09-12-2025
A063,Ameboma of intestine,09-12-2025
A064,Amebic liver abscess,09-12-2025
A065,Amebic lung abscess,09-12-2025
A066,Amebic brain abscess,09-12-2025
A067,Cutaneous amebiasis,09-12-2025
A068,Amebic infection of other sites,09-12-2025
A0681,Amebic cystitis,09-12-2025
A0682,Other amebic genitourinary infections,09-12-2025
A0689,Other amebic infections,09-12-2025
A069,"Amebiasis, unspecified",09-12-2025
A07,Other protozoal intestinal diseases,09-12-2025
A070,Balantidiasis,09-12-2025
A071,Giardiasis [lambliasis],09-12-2025
A072,Cryptosporidiosis,09-12-2025
A073,Isosporiasis,09-12-2025
A074,Cyclosporiasis,09-12-2025
A078,Other specified protozoal intestinal diseases,09-12-2025
A079,"Protozoal intestinal disease, unspecified",09-12-2025
A08,Viral and other specified intestinal infections,09-12-2025
A080,Rotaviral enteritis,09-12-2025
A081,Acute gastrent d/t Norwalk agent and oth small round viruses,09-12-2025
A0811,Acute gastroenteropathy due to Norwalk agent,09-12-2025
A0819,Acute gastroenteropathy due to other small round viruses,09-12-2025
A082,Adenoviral enteritis,09-12-2025
A083,Other viral enteritis,09-12-2025
A0831,Calicivirus enteritis,09-12-2025
A0832,Astrovirus enteritis,09-12-2025
A0839,Other viral enteritis,09-12-2025
A084,"Viral intestinal infection, unspecified",09-12-2025
A088,Other specified intestinal infections,09-12-2025
A09,"Infectious gastroenteritis and colitis, unspecified",09-12-2025
A15,Respiratory tuberculosis,09-12-2025
A150,Tuberculosis of lung,09-12-2025
A154,Tuberculosis of intrathoracic lymph nodes,09-12-2025
A155,"Tuberculosis of larynx, trachea and bronchus",09-12-2025
A156,Tuberculous pleurisy,09-12-2025
A157,Primary respiratory tuberculosis,09-12-2025
A158,Other respiratory tuberculosis,09-12-2025
A159,Respiratory tuberculosis unspecified,09-12-2025
A17,Tuberculosis of nervous system,09-12-2025
A170,Tuberculous meningitis,09-12-2025
A171,Meningeal tuberculoma,09-12-2025
A178,Other tuberculosis of nervous system,09-12-2025
A1781,Tuberculoma of brain and spinal cord,09-12-2025
A1782,Tuberculous meningoencephalitis,09-12-2025
A1783,Tuberculous neuritis,09-12-2025
A1789,Other tuberculosis of nervous system,09-12-2025
A179,"Tuberculosis of nervous system, unspecified",09-12-2025
A18,Tuberculosis of other organs,09-12-2025
A180,Tuberculosis of bones and joints,09-12-2025
A1801,Tuberculosis of spine,09-12-2025
A1802,Tuberculous arthritis of other joints,09-12-2025
A1803,Tuberculosis of other bones,09-12-2025
A1809,Other musculoskeletal tuberculosis,09-12-2025
A181,Tuberculosis of genitourinary system,09-12-2025
A1810,"Tuberculosis of genitourinary system, unspecified",09-12-2025
A1811,Tuberculosis of kidney and ureter,09-12-2025
A1812,Tuberculosis of bladder,09-12-2025
A1813,Tuberculosis of other urinary organs,09-12-2025
A1814,Tuberculosis of prostate,09-12-2025
A1815,Tuberculosis of other male genital organs,09-12-2025
A1816,Tuberculosis of cervix,09-12-2025
A1817,Tuberculous female pelvic inflammatory disease,09-12-2025
A1818,Tuberculosis of other female genital organs,09-12-2025
A182,Tuberculous peripheral lymphadenopathy,09-12-2025
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands",09-12-2025
A1831,Tuberculous peritonitis,09-12-2025
A1832,Tuberculous enteritis,09-12-2025
A1839,Retroperitoneal tuberculosis,09-12-2025
A184,Tuberculosis of skin and subcutaneous tissue,09-12-2025
A185,Tuberculosis of eye,09-12-2025
A1850,"Tuberculosis of eye, unspecified",09-12-2025
A1851,Tuberculous episcleritis,09-12-2025
A1852,Tuberculous keratitis,09-12-2025
A1853,Tuberculous chorioretinitis,09-12-2025
A1854,Tuberculous iridocyclitis,09-12-2025
A1859,Other tuberculosis of eye,09-12-2025
A186,Tuberculosis of (inner) (middle) ear,09-12-2025
A187,Tuberculosis of adrenal glands,09-12-2025
A188,Tuberculosis of other specified organs,09-12-2025
A1881,Tuberculosis of thyroid gland,09-12-2025
A1882,Tuberculosis of other endocrine glands,09-12-2025
A1883,"Tuberculosis of digestive tract organs, NEC",09-12-2025
A1884,Tuberculosis of heart,09-12-2025
A1885,Tuberculosis of spleen,09-12-2025
A1889,Tuberculosis of other sites,09-12-2025
A19,Miliary tuberculosis,09-12-2025
A190,Acute miliary tuberculosis of a single specified site,09-12-2025
A191,Acute miliary tuberculosis of multiple sites,09-12-2025
A192,"Acute miliary tuberculosis, unspecified",09-12-2025
A198,Other miliary tuberculosis,09-12-2025
A199,"Miliary tuberculosis, unspecified",09-12-2025
A20,Plague,09-12-2025
A200,Bubonic plague,09-12-2025
A201,Cellulocutaneous plague,09-12-2025
A202,Pneumonic plague,09-12-2025
A203,Plague meningitis,09-12-2025
A207,Septicemic plague,09-12-2025
A208,Other forms of plague,09-12-2025
A209,"Plague, unspecified",09-12-2025
A21,Tularemia,09-12-2025
A210,Ulceroglandular tularemia,09-12-2025
A211,Oculoglandular tularemia,09-12-2025
A212,Pulmonary tularemia,09-12-2025
A213,Gastrointestinal tularemia,09-12-2025
A217,Generalized tularemia,09-12-2025
A218,Other forms of tularemia,09-12-2025
A219,"Tularemia, unspecified",09-12-2025
A22,Anthrax,09-12-2025
A220,Cutaneous anthrax,09-12-2025
A221,Pulmonary anthrax,09-12-2025
A222,Gastrointestinal anthrax,09-12-2025
A227,Anthrax sepsis,09-12-2025
A228,Other forms of anthrax,09-12-2025
A229,"Anthrax, unspecified",09-12-2025
A23,Brucellosis,09-12-2025
A230,Brucellosis due to Brucella melitensis,09-12-2025
A231,Brucellosis due to Brucella abortus,09-12-2025
A232,Brucellosis due to Brucella suis,09-12-2025
A233,Brucellosis due to Brucella canis,09-12-2025
A238,Other brucellosis,09-12-2025
A239,"Brucellosis, unspecified",09-12-2025
A24,Glanders and melioidosis,09-12-2025
A240,Glanders,09-12-2025
A241,Acute and fulminating melioidosis,09-12-2025
A242,Subacute and chronic melioidosis,09-12-2025
A243,Other melioidosis,09-12-2025
A249,"Melioidosis, unspecified",09-12-2025
A25,Rat-bite fevers,09-12-2025
A250,Spirillosis,09-12-2025
A251,Streptobacillosis,09-12-2025
A259,"Rat-bite fever, unspecified",09-12-2025
A26,Erysipeloid,09-12-2025
A260,Cutaneous erysipeloid,09-12-2025
A267,Erysipelothrix sepsis,09-12-2025
A268,Other forms of erysipeloid,09-12-2025
A269,"Erysipeloid, unspecified",09-12-2025
A27,Leptospirosis,09-12-2025
A270,Leptospirosis icterohemorrhagica,09-12-2025
A278,Other forms of leptospirosis,09-12-2025
A2781,Aseptic meningitis in leptospirosis,09-12-2025
A2789,Other forms of leptospirosis,09-12-2025
A279,"Leptospirosis, unspecified",09-12-2025
A28,"Other zoonotic bacterial diseases, not elsewhere classified",09-12-2025
A280,Pasteurellosis,09-12-2025
A281,Cat-scratch disease,09-12-2025
A282,Extraintestinal yersiniosis,09-12-2025
A288,"Oth zoonotic bacterial diseases, not elsewhere classified",09-12-2025
A289,"Zoonotic bacterial disease, unspecified",09-12-2025
A30,Leprosy [Hansen's disease],09-12-2025
A300,Indeterminate leprosy,09-12-2025
A301,Tuberculoid leprosy,09-12-2025
A302,Borderline tuberculoid leprosy,09-12-2025
A303,Borderline leprosy,09-12-2025
A304,Borderline lepromatous leprosy,09-12-2025
A305,Lepromatous leprosy,09-12-2025
A308,Other forms of leprosy,09-12-2025
A309,"Leprosy, unspecified",09-12-2025
A31,Infection due to other mycobacteria,09-12-2025
A310,Pulmonary mycobacterial infection,09-12-2025
A311,Cutaneous mycobacterial infection,09-12-2025
A312,Dissem mycobacterium avium-intracellulare complex (DMAC),09-12-2025
A318,Other mycobacterial infections,09-12-2025
A319,"Mycobacterial infection, unspecified",09-12-2025
A32,Listeriosis,09-12-2025
A320,Cutaneous listeriosis,09-12-2025
A321,Listerial meningitis and meningoencephalitis,09-12-2025
A3211,Listerial meningitis,09-12-2025
A3212,Listerial meningoencephalitis,09-12-2025
A327,Listerial sepsis,09-12-2025
A328,Other forms of listeriosis,09-12-2025
A3281,Oculoglandular listeriosis,09-12-2025
A3282,Listerial endocarditis,09-12-2025
A3289,Other forms of listeriosis,09-12-2025
A329,"Listeriosis, unspecified",09-12-2025
A33,Tetanus neonatorum,09-12-2025
A34,Obstetrical tetanus,09-12-2025
A35,Other tetanus,09-12-2025
A36,Diphtheria,09-12-2025
A360,Pharyngeal diphtheria,09-12-2025
A361,Nasopharyngeal diphtheria,09-12-2025
A362,Laryngeal diphtheria,09-12-2025
A363,Cutaneous diphtheria,09-12-2025
